"","Sector","URN","Places","Local.authority","Organisation","Registration.date","Overall.experiences.and.progress.of.children.and.young.people","Latest.full.inspection.date","Homes","Join","Leave","keep"
"14311","For-profit","SC386837",2,"STOCKPORT","New Horizons (Stockport) Ltd","18/03/2009","Inadequate",2023-03-14,1,"2014-01-01",NA,NA
"14312","Local Authority","SC387784",2,"STOKE ON TRENT","Stoke On Trent City Council","28/11/2008","Good",2023-03-07,1,"2014-01-01",NA,NA
"14313","For-profit","2561020",5,"DERBY","Blue Mountain Homes Ltd","14/11/2019","Good",2022-05-03,1,"2019-11-14",NA,NA
"14314","For-profit","2562430",3,"BEXLEY","Jamores Limited","18/02/2020","Good",2023-01-03,1,"2020-02-18",NA,NA
"14315","For-profit","2562677",3,"ESSEX","Pbs Care Homes Ltd","27/01/2020","Good",2022-09-20,1,"2020-01-27",NA,NA
"14316","For-profit","2646248",3,"MANCHESTER","Paramount Children's Services Ltd","25/10/2021","Good",2022-08-18,1,"2021-10-25",NA,NA
"14317","For-profit","2647445",1,"KIRKLEES","Esland North Limited","25/04/2022","Good",2022-11-16,1,"2022-04-25",NA,NA
"14318","For-profit","2652096",4,"CORNWALL","Central & Southern Homes","29/10/2021","Good",2022-10-26,1,"2021-10-29",NA,NA
"14319","Local Authority","2652383",2,"NORFOLK","Norfolk County Council","01/09/2021","Good",2022-11-28,1,"2021-09-01",NA,NA
"14320","For-profit","2652535",1,"HERTFORDSHIRE","Kelwel Care Limited","04/04/2022","Good",2022-11-14,1,"2022-04-04",NA,NA
"14321","For-profit","2652546",4,"SANDWELL","Stepping Stones Care (Midlands) Limited","07/02/2022","Good",2022-08-31,1,"2022-02-07",NA,NA
"14322","For-profit","2656736",1,"NORTH NORTHAMPTONSHIRE","Esland North Limited","16/12/2021","Requires improvement to be good",2022-08-09,1,"2021-12-16",NA,NA
"14323","For-profit","2658895",2,"LIVERPOOL","Supporting Futures Limited","03/01/2022","Good",2022-06-22,1,"2022-01-03",NA,NA
"14324","For-profit","2660064",4,"NORFOLK","Compass Childrens Homes Ltd","24/12/2021","Good",2022-05-23,1,"2021-12-24",NA,NA
"14325","For-profit","2660470",3,"DERBYSHIRE","My House Calow Ltd","03/12/2021","Requires improvement to be good",2022-11-08,1,"2021-12-03",NA,NA
"14326","For-profit","2661346",4,"TOWER HAMLETS","Woodford Children's Services Limited","14/02/2022","Good",2022-09-08,1,"2022-02-14",NA,NA
"14327","For-profit","2661513",1,"LEICESTERSHIRE","Almond Care Children's Services Limited","22/02/2022","Good",2022-09-13,1,"2022-02-22",NA,NA
"14328","Local Authority","2662265",2,"ROTHERHAM","Rotherham Metropolitan Borough Council","25/11/2021","Good",2022-05-25,1,"2021-11-25",NA,NA
"14329","For-profit","2663221",2,"LANCASHIRE","Holywell Children's Services Limited","31/01/2022","Good",2022-11-30,1,"2022-01-31",NA,NA
"14330","For-profit","2663883",4,"SHEFFIELD","Progressive Care Limited","07/07/2022","Requires improvement to be good",2022-12-06,1,"2022-07-07",NA,NA
"14331","For-profit","2503598",5,"BIRMINGHAM","Aston Children's Care Ltd","20/03/2019","Good",2022-08-24,1,"2019-03-20",NA,NA
"14332","For-profit","2505378",3,"LINCOLNSHIRE","Esland North Limited","19/01/2019","Good",2023-02-06,1,"2019-01-19",NA,NA
"14333","For-profit","2612063",4,"BRENT","Blossom Children's Homes Limited","17/12/2020","Good",2023-01-11,1,"2020-12-17",NA,NA
"14334","For-profit","SC457254",5,"CUMBRIA","North Lakes Children's Service Limited","13/12/2012","Good",2023-01-10,1,"2014-01-01",NA,NA
"14335","Third Sector","SC457423",5,"CENTRAL BEDFORDSHIRE","MacIntyre Care","14/02/2013","Good",2023-01-10,1,"2014-01-01",NA,NA
"14336","For-profit","SC460063",5,"EAST RIDING OF YORKSHIRE","Cambian Childcare Ltd","11/03/2013","Good",2023-02-01,1,"2014-01-01",NA,NA
"14337","For-profit","SC461846",6,"ESSEX","Pathways Care Group","25/04/2013","Requires improvement to be good",2022-05-05,1,"2014-01-01",NA,NA
"14338","For-profit","1269421",3,"DERBYSHIRE","Aspris Children's Services Limited","23/01/2018","Good",2023-03-13,1,"2018-01-23",NA,NA
"14339","For-profit","1270002",2,"LIVERPOOL","Garway Young People Ltd","22/05/2018","Good",2022-09-07,1,"2018-05-22",NA,NA
"14340","Third Sector","1270767",4,"NOTTINGHAMSHIRE","K & G Care Ltd","16/02/2018","Good",2023-01-04,1,"2018-02-16",NA,NA
"14341","For-profit","SC443959",8,"LANCASHIRE","Aspris New Education Services Limited","03/05/2012","Outstanding",2023-03-02,1,"2014-01-01",NA,NA
"14342","For-profit","SC414738",4,"MILTON KEYNES","Benjamin UK Ltd","15/11/2010","Good",2022-12-06,1,"2014-01-01",NA,NA
"14343","For-profit","SC403905",5,"KENT","Rubicon Children and Family Services Ltd","21/04/2010","Good",2023-02-28,1,"2014-01-01",NA,NA
"14344","Local Authority","SC035969",7,"LIVERPOOL","Liverpool City Council","12/09/2003","Good",2022-03-14,1,"2014-01-01",NA,NA
"14345","For-profit","2650952",4,"NOTTINGHAM","Procure Care Providers Limited","01/10/2021","Good",2022-08-02,1,"2021-10-01",NA,NA
"14346","For-profit","2651807",4,"CHESHIRE WEST AND CHESTER","Phoenix Care & Education Ltd","28/09/2021","Good",2023-02-07,1,"2021-09-28",NA,NA
"14347","For-profit","2653207",1,"WIGAN","All Round Care Ltd","27/10/2021","Requires improvement to be good",2022-09-13,1,"2021-10-27",NA,NA
"14348","For-profit","2656194",5,"WOLVERHAMPTON","Care Perspectives Limited","11/02/2022","Good",2022-09-21,1,"2022-02-11",NA,NA
"14349","For-profit","2656689",3,"STAFFORDSHIRE","Ash House Care LTD","22/11/2021","Good",2022-09-20,1,"2021-11-22",NA,NA
"14350","For-profit","2664826",4,"MANCHESTER","Family Care Associates Limited","02/03/2022","Good",2022-10-18,1,"2022-03-02",NA,NA
"14351","Local Authority","SC035339",7,"OLDHAM","Oldham Metropolitan Borough Council","22/01/2004","Good",2022-06-28,1,"2014-01-01",NA,NA
"14352","Local Authority","SC035492",4,"OLDHAM","Oldham Metropolitan Borough Council","28/10/2003","Good",2022-11-15,1,"2014-01-01",NA,NA
"14353","Local Authority","SC061232",5,"BRISTOL","Bristol City Council","07/06/2004","Requires improvement to be good",2023-01-04,1,"2014-01-01",NA,NA
"14354","For-profit","SC431192",4,"SEFTON","Independent Living Services (North West) Limited","26/07/2011","Requires improvement to be good",2022-04-26,1,"2014-01-01",NA,NA
"14355","Local Authority","SC432404",2,"CORNWALL","Cornwall Partnership NHS Foundation Trust","08/09/2011","Good",2023-01-17,1,"2014-01-01",NA,NA
"14356","For-profit","SC434223",2,"WORCESTERSHIRE","Keys Specialist Residential Children's Services Ltd","22/08/2011","Good",2023-03-06,1,"2014-01-01",NA,NA
"14357","For-profit","SC434806",3,"LEICESTERSHIRE","Cambian Childcare Ltd","15/09/2011","Good",2022-05-11,1,"2014-01-01",NA,NA
"14358","For-profit","SC442401",5,"LANCASHIRE","ROC Northwest Limited ","15/03/2012","Good",2023-02-28,1,"2014-01-01",NA,NA
"14359","Local Authority","SC442886",4,"STOCKTON ON TEES","Stockton On Tees Borough Council","15/03/2012","Requires improvement to be good",2023-01-04,1,"2014-01-01",NA,NA
"14360","For-profit","SC473877",2,"KENT","Pilgrims Corner Limited","28/03/2014","Good",2023-02-08,1,"2014-01-01",NA,NA
"14361","For-profit","SC475697",7,"LANCASHIRE","Witherslack Group Ltd","08/05/2014","Good",2023-02-22,1,"2014-05-08",NA,NA
"14362","For-profit","SC477031",5,"STOCKTON ON TEES","Spark Of Genius North East Llp","24/06/2014","Requires improvement to be good",2022-06-08,1,"2014-06-24",NA,NA
"14363","For-profit","SC482301",6,"HAMPSHIRE","Hillcrest Children's Services Ltd","22/09/2014","Good",2022-07-06,1,"2014-09-22",NA,NA
"14364","For-profit","SC483692",4,"LANCASHIRE","ROC Northwest Limited ","03/12/2014","Good",2022-11-29,1,"2014-12-03",NA,NA
"14365","For-profit","1275228",2,"WEST NORTHAMPTONSHIRE","Homes 2 inspire","30/04/2018","Good",2022-08-30,1,"2018-04-30",NA,NA
"14366","For-profit","1276010",3,"SHROPSHIRE","Bryn Melyn Care Limited","14/05/2018","Good",2022-11-07,1,"2018-05-14",NA,NA
"14367","For-profit","1277497",4,"LANCASHIRE","Hopscotch Care Ltd","15/06/2018","Good",2022-06-08,1,"2018-06-15",NA,NA
"14368","For-profit","2631698",3,"STAFFORDSHIRE","Excel Residential Care Ltd","01/11/2021","Requires improvement to be good",2022-09-06,1,"2021-11-01",NA,NA
"14369","For-profit","2632917",2,"SOMERSET","Phoenix Childcare Ltd","12/04/2021","Inadequate",2022-12-06,1,"2021-04-12",NA,NA
"14370","For-profit","SC415347",4,"STAFFORDSHIRE","Hillcrest Childrens Services (2) Limited","12/09/2010","Good",2022-10-19,1,"2014-01-01",NA,NA
"14371","For-profit","SC416599",5,"CUMBRIA","North Lakes Children's Service Limited","06/08/2010","Good",2022-12-07,1,"2014-01-01",NA,NA
"14372","For-profit","SC419217",2,"BIRMINGHAM","Care And Management Services Limited","18/11/2010","Good",2023-01-04,1,"2014-01-01",NA,NA
"14373","For-profit","SC421063",4,"BUCKINGHAMSHIRE","Keys Care Limited","03/02/2011","Outstanding",2023-02-27,1,"2014-01-01",NA,NA
"14374","For-profit","SC471672",4,"BIRMINGHAM","Serenity Specialist Care Ltd","21/05/2014","Good",2022-07-12,1,"2014-05-21",NA,NA
"14375","For-profit","SC473404",5,"KENT","Back On Track Children's Services Se Ltd.","29/11/2013","Good",2022-11-22,1,"2014-01-01",NA,NA
"14376","For-profit","2585407",4,"SHROPSHIRE","Physis Quantum Limited","09/07/2020","Requires improvement to be good",2022-07-18,1,"2020-07-09",NA,NA
"14377","For-profit","2585926",7,"SUNDERLAND","Witherslack Group Ltd","26/05/2020","Good",2023-02-07,1,"2020-05-26",NA,NA
"14378","Third Sector","2592750",2,"NORFOLK","Break","10/06/2020","Requires improvement to be good",2022-12-05,1,"2020-06-10",NA,NA
"14379","For-profit","2594007",2,"SALFORD","Cambian Childcare Ltd","09/06/2020","Good",2022-07-12,1,"2020-06-09",NA,NA
"14380","For-profit","2594985",4,"LANCASHIRE","New Horizons (NW) Ltd","03/08/2020","Good",2022-10-04,1,"2020-08-03",NA,NA
"14381","For-profit","SC044224",4,"LANCASHIRE","Progress Care and Education Limited","10/10/2003","Requires improvement to be good",2022-05-11,1,"2014-01-01",NA,NA
"14382","For-profit","SC044259",5,"WEST SUSSEX","Child First Limited","02/07/2003","Good",2023-01-09,1,"2014-01-01",NA,NA
"14383","For-profit","2595983",6,"LANCASHIRE","Keys QTC Limited","25/08/2020","Good",2022-11-15,1,"2020-08-25",NA,NA
"14384","For-profit","2598462",2,"LEICESTERSHIRE","Haven Care Group Ltd","08/10/2020","Good",2022-11-23,1,"2020-10-08",NA,NA
"14385","For-profit","2599399",2,"HEREFORDSHIRE","Cambian Childcare Ltd","15/09/2020","Inadequate",2022-11-29,1,"2020-09-15",NA,NA
"14386","For-profit","2599659",4,"PETERBOROUGH","Semi-Independent House Limited","29/11/2020","Requires improvement to be good",2022-08-09,1,"2020-11-29",NA,NA
"14387","For-profit","2602558",6,"GATESHEAD","Enhanced Young Person's Care LTD","17/11/2020","Good",2022-09-12,1,"2020-11-17",NA,NA
"14388","For-profit","2602585",3,"LANCASHIRE","Next Stage 4Life LTD","18/09/2020","Good",2023-01-17,1,"2020-09-18",NA,NA
"14389","For-profit","2633107",4,"SURREY","Charis Services for Children Ltd","21/07/2021","Good",2022-06-08,1,"2021-07-21",NA,NA
"14390","For-profit","2633127",4,"WOLVERHAMPTON","Pathways Care Group","13/07/2021","Requires improvement to be good",2022-09-06,1,"2021-07-13",NA,NA
"14391","For-profit","SC457175",1,"HALTON","Cambian Childcare Ltd","14/02/2013","Outstanding",2022-10-05,1,"2014-01-01",NA,NA
"14392","For-profit","SC410539",3,"BIRMINGHAM","Positive Pathways Limited","29/06/2010","Inadequate",2022-07-12,1,"2014-01-01",NA,NA
"14393","For-profit","SC411074",1,"STOKE ON TRENT","Searchlight Care Services Ltd","07/06/2010","Requires improvement to be good",2022-11-01,1,"2014-01-01",NA,NA
"14394","For-profit","SC412476",4,"HAMPSHIRE","Keys Group Progressive Care & Education Limited","03/09/2010","Good",2022-08-09,1,"2014-01-01",NA,NA
"14395","For-profit","SC412979",4,"LANCASHIRE","Aspris New Education Services Limited","08/07/2010","Good",2023-02-21,1,"2014-01-01",NA,NA
"14396","For-profit","SC413779",2,"ROCHDALE","Aspire Child Care Ltd","02/09/2010","Good",2023-01-17,1,"2014-01-01",NA,NA
"14397","For-profit","SC414296",4,"NOTTINGHAM","Total Care Matters Limited","23/08/2010","Requires improvement to be good",2022-11-14,1,"2014-01-01",NA,NA
"14398","For-profit","SC475680",8,"LANCASHIRE","Witherslack Group Ltd","08/05/2014","Good",2022-10-18,1,"2014-05-08",NA,NA
"14399","For-profit","SC476083",3,"CUMBRIA","Radical Services Limited","12/03/2015","Requires improvement to be good",2022-06-28,1,"2015-03-12",NA,NA
"14400","For-profit","SC476251",4,"BEDFORD","Cambian Childcare Ltd","26/02/2014","Good",2023-02-15,1,"2014-01-01",NA,NA
"14401","For-profit","SC476512",5,"REDCAR AND CLEVELAND","Highfield (North East) Limited","03/06/2014","Good",2022-06-15,1,"2014-06-03",NA,NA
"14402","Local Authority","SC477205",7,"KENSINGTON AND CHELSEA","Royal Borough of Kensington and Chelsea","21/05/2014","Good",2022-11-16,1,"2014-05-21",NA,NA
"14403","For-profit","SC477726",2,"WIGAN","Crystal Care Solutions Limited","18/07/2014","Good",2022-09-06,1,"2014-07-18",NA,NA
"14404","For-profit","SC458027",3,"ESSEX","Cambian Childcare Ltd","15/02/2013","Good",2022-04-11,1,"2014-01-01",NA,NA
"14405","For-profit","SC461865",5,"REDBRIDGE","Heartwood RSW Ltd","08/11/2013","Good",2022-09-07,1,"2014-01-01",NA,NA
"14406","For-profit","SC461938",2,"WIRRAL","Crystal Care Solutions Limited","21/05/2013","Good",2023-02-06,1,"2014-01-01",NA,NA
"14407","For-profit","SC462729",5,"ESSEX","SureCare Residential Ltd","22/05/2013","Good",2022-05-18,1,"2014-01-01",NA,NA
"14408","For-profit","SC462951",3,"ESSEX","ERA Care Limited","28/06/2013","Requires improvement to be good",2022-06-20,1,"2014-01-01",NA,NA
"14409","For-profit","SC463852",4,"STAFFORDSHIRE","Horizon Care and Education Group Limited","24/06/2013","Good",2023-02-14,1,"2014-01-01",NA,NA
"14410","For-profit","SC467115",2,"SOMERSET","Plus One South West Ltd","27/08/2013","Good",2023-02-08,1,"2014-01-01",NA,NA
"14411","Local Authority","2586752",2,"BRISTOL","Bristol City Council","01/12/2020","Good",2023-02-14,1,"2020-12-01",NA,NA
"14412","For-profit","2586949",3,"LANCASHIRE","Horizon Care and Education Group Limited","30/04/2020","Good",2022-11-15,1,"2020-04-30",NA,NA
"14413","For-profit","SC488439",3,"SHROPSHIRE","Keys Education Ltd","27/02/2015","Good",2022-11-09,1,"2015-02-27",NA,NA
"14414","For-profit","SC025409",3,"LIVERPOOL","The Partnership Of Care Today","11/10/2001","Good",2022-08-02,1,"2014-01-01",NA,NA
"14415","For-profit","SC025420",6,"LIVERPOOL","Quality Protects Children Ltd","14/11/2000","Good",2022-06-14,1,"2014-01-01",NA,NA
"14416","For-profit","SC029504",4,"NOTTINGHAM","Pathway Care Solutions Ltd","13/02/2003","Outstanding",2022-11-09,1,"2014-01-01",NA,NA
"14417","For-profit","SC029865",4,"WEST SUSSEX","My Choice Children's Homes ltd","30/12/2002","Good",2023-02-07,1,"2014-01-01",NA,NA
"14418","Local Authority","SC032701",5,"SOUTH TYNESIDE","South Tyneside Council","11/06/2003","Good",2022-08-30,1,"2014-01-01",NA,NA
"14419","Local Authority","SC033127",11,"NORTH EAST LINCOLNSHIRE","North East Lincolnshire Council","20/01/2004","Good",2022-10-11,1,"2014-01-01",NA,NA
"14420","Local Authority","SC033174",4,"HAMPSHIRE","Hampshire County Council","05/12/2003","Good",2022-08-02,1,"2014-01-01",NA,NA
"14421","For-profit","SC033268",12,"CUMBRIA","Appletree Treatment Centre Limited","05/02/2004","Good",2022-11-22,1,"2014-01-01",NA,NA
"14422","For-profit","1227788",2,"SOMERSET","Solent Childcare LTD","26/02/2016","Outstanding",2023-01-10,1,"2016-02-26",NA,NA
"14423","For-profit","SC470645",4,"HERTFORDSHIRE","SureCare Residential Ltd","21/10/2013","Good",2022-09-27,1,"2014-01-01",NA,NA
"14424","Third Sector","SC470797",4,"BOLTON","Birtenshaw","16/10/2013","Good",2022-08-02,1,"2014-01-01",NA,NA
"14425","For-profit","SC471058",1,"PLYMOUTH","Cambian Childcare Ltd","03/12/2013","Good",2022-04-25,1,"2014-01-01",NA,NA
"14426","For-profit","SC472164",5,"WEST BERKSHIRE","Amegreen Children's Services Limited","13/11/2013","Good",2022-07-04,1,"2014-01-01",NA,NA
"14427","Local Authority","SC472374",4,"MIDDLESBROUGH","Middlesbrough Borough Council","03/01/2014","Good",2022-10-26,1,"2014-01-01",NA,NA
"14428","Local Authority","SC472449",6,"NORTH LINCOLNSHIRE","North Lincolnshire Council","10/12/2013","Good",2022-08-09,1,"2014-01-01",NA,NA
"14429","For-profit","2537801",3,"LANCASHIRE","Exceptional Care Limited","13/09/2019","Requires improvement to be good",2022-11-08,1,"2019-09-13",NA,NA
"14430","Third Sector","2630728",3,"SUNDERLAND","Hopespring","13/07/2021","Good",2022-12-13,1,"2021-07-13",NA,NA
"14431","For-profit","2633744",3,"WORCESTERSHIRE","Ivory Cottage Ltd","08/06/2021","Requires improvement to be good",2022-11-22,1,"2021-06-08",NA,NA
"14432","For-profit","2673408",6,"WARWICKSHIRE","The Forge Nuneaton Limited","28/06/2022","Requires improvement to be good",2023-03-02,1,"2022-06-28",NA,NA
"14433","For-profit","2674176",1,"BEDFORD","Cornerways Care Ltd","11/02/2022","Good",2022-09-27,1,"2022-02-11",NA,NA
"14434","For-profit","2675297",4,"WARWICKSHIRE","Closer 2 Home Limited","08/06/2022","Requires improvement to be good",2022-10-19,1,"2022-06-08",NA,NA
"14435","For-profit","2677057",14,"SHROPSHIRE","Reflexion Care Group Limited","13/09/2022","Good",2023-01-31,1,"2022-09-13",NA,NA
"14436","For-profit","2678404",3,"DERBY","Willow Care Group Limited","15/06/2022","Good",2022-10-11,1,"2022-06-15",NA,NA
"14437","For-profit","2679463",2,"BOURNEMOUTH CHRISTCHURCH AND POOLE","Lily Residential Services Ltd","09/05/2022","Requires improvement to be good",2022-08-11,1,"2022-05-09",NA,NA
"14438","For-profit","2680559",4,"SOUTHEND ON SEA","New Path Residential Ltd","05/07/2022","Good",2023-01-09,1,"2022-07-05",NA,NA
"14439","For-profit","2682113",3,"STAFFORDSHIRE","Core Children LTD","07/07/2022","Good",2023-02-28,1,"2022-07-07",NA,NA
"14440","For-profit","2682298",2,"SOMERSET","Plus One South West Ltd","16/08/2022","Requires improvement to be good",2023-02-22,1,"2022-08-16",NA,NA
"14441","For-profit","1269072",3,"WORCESTERSHIRE","Utopia Children's Services Ltd","05/01/2018","Requires improvement to be good",2022-10-04,1,"2018-01-05",NA,NA
"14442","For-profit","1269505",4,"CENTRAL BEDFORDSHIRE","Benjamin UK Ltd","20/02/2018","Good",2023-01-31,1,"2018-02-20",NA,NA
"14443","Local Authority","SC395944",10,"ISLE OF WIGHT","Isle of Wight Council","24/07/2009","Good",2023-03-01,1,"2014-01-01",NA,NA
"14444","For-profit","SC402135",4,"HAMPSHIRE","New Forest Care Ltd","11/10/2009","Good",2022-02-22,1,"2014-01-01",NA,NA
"14445","For-profit","SC403234",3,"DEVON","Phoenix Childcare Ltd","22/12/2009","Good",2023-01-10,1,"2014-01-01",NA,NA
"14446","For-profit","SC470224",10,"LANCASHIRE","Halliwell Homes Limited","11/11/2013","Requires improvement to be good",2022-10-03,1,"2014-01-01",NA,NA
"14447","For-profit","SC457074",4,"HEREFORDSHIRE","Cambian Childcare Ltd","10/12/2012","Good",2022-03-22,1,"2014-01-01",NA,NA
"14448","For-profit","SC009651",4,"LANCASHIRE","Keys Child Care Ltd","08/02/1996","Outstanding",2022-11-29,1,"2014-01-01",NA,NA
"14449","For-profit","SC047978",5,"NOTTINGHAMSHIRE","Blue Mountain Homes Ltd","27/06/2003","Requires improvement to be good",2022-10-25,1,"2014-01-01",NA,NA
"14450","Local Authority","SC051513",4,"DERBYSHIRE","Nottinghamshire County Council","02/02/2004","Good",2022-06-07,1,"2014-01-01",NA,NA
"14451","For-profit","SC042652",3,"SEFTON","After Care Nw Limited","20/03/2003","Good",2022-08-09,1,"2014-01-01",NA,NA
"14452","For-profit","SC423407",8,"DURHAM","Keys Care Limited","28/01/2011","Good",2023-02-28,1,"2014-01-01",NA,NA
"14453","Third Sector","SC025739",4,"STOCKPORT","The Together Trust","24/07/1998","Outstanding",2022-03-15,1,"2014-01-01",NA,NA
"14454","For-profit","SC026991",4,"WARRINGTON","Keys Child Care Ltd","29/09/1998","Good",2022-06-14,1,"2014-01-01",NA,NA
"14455","Local Authority","SC069618",1,"NORTH EAST LINCOLNSHIRE","North East Lincolnshire Council","12/03/2007","Requires improvement to be good",2022-09-05,1,"2014-01-01",NA,NA
"14456","For-profit","SC357455",4,"BLACKBURN WITH DARWEN","Woodside House Care Ltd","25/02/2008","Outstanding",2022-06-14,1,"2014-01-01",NA,NA
